Unnamed: 0,st_id,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,artist_group,index_community
2390,0Mz5XE0kb1GBnbLQm2VbcO,Mos Def,alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,65.0,1264061.0,10.0,,2
2391,0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler,disco,europop,new wave pop,soft rock,66.0,1546454.0,18.0,,4
2392,5krkohEVJYw0qoB5VWwxaC,The Black Crowes,album rock,blues rock,classic rock,hard rock,61.0,657770.0,4.0,,4
2393,3y24n3XhZ96wgwRXjvS17T,Coolio,g funk,gangster rap,hip hop,rap,68.0,688267.0,11.0,,15
2394,46njgd2Rq9tZc4ZjeQMgbh,Boz Scaggs,adult standards,album rock,art rock,classic rock,59.0,660137.0,10.0,,4
2395,39GVRVaqlKh7JL8Yl5ZKcb,Tim Hardin,country rock,folk,folk rock,mellow gold,49.0,41072.0,7.0,,4
2396,0EodhzA6yW1bIdD5B4tcmJ,Bobby Darin,adult standards,brill building pop,easy listening,lounge,60.0,465402.0,18.0,,5
2397,6Tw1ktF4xMmzaLLbe98I2z,Harry Belafonte,adult standards,brill building pop,calypso,lounge,56.0,162822.0,19.0,,5
2398,5OK8j1JnhoBlivN32G7yOO,This Mortal Coil,art pop,art rock,dark wave,dream pop,43.0,127314.0,5.0,,13
2399,6lOk7hCr8x3O9vHwylXyHR,The Penguins,doo-wop,rhythm and blues,,,44.0,54976.0,11.0,,5
2400,3mOiEPe870jJrahcf2TPYZ,Little Willie John,brill building pop,rhythm and blues,rock-and-roll,soul,41.0,25259.0,12.0,,5
2401,6O2zJ0tId7g07yzHtX0yap,Mobb Deep,east coast hip hop,gangster rap,hardcore hip hop,hip hop,66.0,1660838.0,14.0,,2
2402,2aAHdB5HweT3mFcRzm0swc,Glenn Miller,adult standards,big band,easy listening,jazz trombone,55.0,438149.0,9.0,,5
