st_id,duplicates,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,degree,in_degree,out_degree,level_popularity,community,artist_group,group,count
3dE92yGWcrboP1kC5SWyqu,7.0,Todd Terry,classic house,deep house,disco house,diva house,47.0,57994.0,2.0,16,14,2,24.0,22,,,15.0
742YR9ZgF0tCO5juBfvPAU,1.0,Gwen McCrae,classic soul,disco,post-disco,southern soul,46.0,34122.0,9.0,12,3,9,24.0,3,,,1.0
6ncjxhoS3EBK76GHFK9ZhJ,1.0,Minh Kỳ,,,,,0.0,3.0,0.0,25,7,18,8.0,4,,,8058.0
07FfkbljNIdl45Ijlh1aXS,1.0,RHODES,,,,,56.0,110585.0,11.0,35,21,14,24.0,12,,,306.0
1XTGADISSMRf8B4TcVGYUC,1.0,Ky-Mani Marley,modern reggae,reggae,reggae fusion,roots reggae,57.0,347495.0,8.0,22,11,11,24.0,24,,,90.0
67ps5pbKVO7V9Fcb4lTIXz,1.0,Wind Rose,italian folk metal,italian power metal,melodic metal,middle earth,49.0,104110.0,6.0,7,1,6,24.0,3,,,1.0
0ZUyFEafMwocvApBjTXvdo,1.0,This Is The Kit,bristol indie,chamber psych,indie folk,,45.0,90613.0,2.0,10,8,2,24.0,12,,,2.0
1MD5pgVzlusqGyuSTcTxvu,1.0,Premiata Forneria Marconi,art rock,italian progressive rock,progressive rock,symphonic rock,37.0,99684.0,4.0,11,7,4,16.0,3,,,1.0
7f5Zgnp2spUuuzKplmRkt7,1.0,Lost Frequencies,belgian edm,edm,pop,pop dance,76.0,2482496.0,16.0,226,182,44,32.0,0,,,140606.0
5MouCg6ta7zAxsfMEbc1uh,1.0,OMI,dance pop,,,,64.0,600733.0,19.0,26,6,20,32.0,0,,,582.0
4LDlZMP6wmgzYjMYUbq5Gw,1.0,Băng Tình,,,,,0.0,63.0,0.0,71,34,37,8.0,1,,,47631.0
2019zR22qK2RBvCqtudBaI,1.0,OH MY GIRL,k-pop,k-pop girl group,,,57.0,1514998.0,17.0,117,65,52,24.0,2,,,14964.0
2VWFdgGSQFYAal1nUUpbPW,1.0,Minh Tien,,,,,0.0,13.0,0.0,46,19,27,8.0,4,,,9714.0
4YXycRbyyAE0wozTk7QMEq,1.0,Matoma,dance pop,deep tropical house,edm,electro house,66.0,707675.0,16.0,68,43,25,32.0,0,,,364.0
50JJSqHUf2RQ9xsHs0KMHg,1.0,Jon Bellion,pop rap,,,,67.0,1315446.0,12.0,38,18,20,32.0,0,,,385.0
7DMveApC7UnC2NPfPvlHSU,1.0,Cheat Codes,dance pop,edm,electro house,electropop,71.0,2090724.0,18.0,145,92,53,32.0,0,,,9529.0
10MePwUrEFRfJ3lN2FLs4b,4.0,HADES,covertronica,pop dance,pop edm,,52.0,3319.0,13.0,43,30,13,24.0,0,,,338.0
2N19kPGlqKY8GiyE4DkAtp,1.0,Little Glee Monster,j-pop,j-pop girl group,,,53.0,714290.0,12.0,22,9,13,24.0,11,,,1284.0
1U1el3k54VvEUzo3ybLPlM,1.0,Kali Uchis,colombian pop,pop,,,79.0,3182042.0,17.0,27,5,22,32.0,0,,,780.0
7xTo7ipdBZezIoyAkmcRge,1.0,Tribulation,death metal,metal,swedish metal,,35.0,49583.0,2.0,4,2,2,16.0,14,,,1.0
2z2l9z2yioLWSoCECNIyEl,3.0,Helen,romanian indie,,,,41.0,4697.0,4.0,58,16,42,24.0,1,,,18541.0
4ufh0WuMZh6y4Dmdnklvdl,1.0,BAEKHYUN,k-pop,,,,63.0,2466562.0,19.0,112,66,46,32.0,2,,,29780.0
2i9uaNzfUtuApAjEf1omV8,1.0,Wet,art pop,brooklyn indie,electropop,indie pop,55.0,249734.0,8.0,29,15,14,24.0,12,,,246.0
0IB0VjX9NSrGX6PjCXGVcq,1.0,Raleigh Ritchie,uk contemporary r&b,,,,45.0,198928.0,16.0,19,3,16,24.0,0,,,1.0
1rw8ZTLnDHd74TWDDukjVi,1.0,Conrad Sewell,australian pop,,,,61.0,106796.0,11.0,35,16,19,32.0,0,,,735.0
7Ks1xbMXEQjy9aQObTJdId,1.0,Lonely The Brave,british alternative rock,cambridgeshire indie,modern alternative rock,,39.0,43034.0,4.0,6,2,4,16.0,14,,,60.0
1qpR5mURxk3d8f6mww6uKT,1.0,Shura,art pop,dance pop,electropop,indie pop,48.0,224973.0,13.0,36,23,13,24.0,0,,,11.0
0JggLWdYe1p6oHZoHpyPSD,1.0,Blacka,vietnamese hip hop,,,,32.0,10070.0,8.0,115,76,39,16.0,10,,,54275.0
0aLsJXIaJ6MMCZIzaGpMaX,2.0,Little Joy,la indie,,,,42.0,118394.0,2.0,8,6,2,24.0,12,,,1.0
4JeG1IusHcsL2owYnsJ7wk,1.0,The Skyliners,brill building pop,doo-wop,rhythm and blues,rock-and-roll,40.0,34279.0,13.0,34,21,13,24.0,7,,,3.0
4TnGh5PKbSjpYqpIdlW5nz,1.0,Monsta X,k-pop,k-pop boy group,,,65.0,4576933.0,19.0,80,39,41,32.0,2,,,7396.0
3uo7KLyxuiANGmwDocxMnw,1.0,Nieah,korean r&b,,,,28.0,14072.0,14.0,73,59,14,16.0,2,,,1.0
3mRSi79NwnlKaOH8vFxBVL,1.0,PollyAnna,,,,,56.0,3141.0,2.0,2,0,2,24.0,12,,,2.0
59xljcfdN2Z9VX2U5RFKEa,2.0,Bent,electronica,nu jazz,trip hop,,45.0,64699.0,6.0,12,6,6,24.0,22,,,2.0
4UTKdKB32XqCsQGLjZEfmw,1.0,Snacky Chan,k-rap,,,,15.0,2126.0,11.0,23,6,17,8.0,2,,,56.0
7okwEbXzyT2VffBmyQBWLz,1.0,Maná,latin arena pop,latin pop,latin rock,mexican pop,77.0,8567317.0,12.0,15,3,12,32.0,9,,,26.0
77IKXFvO7SpWrq8hflrUXc,1.0,KB,christian hip hop,,,,59.0,371476.0,7.0,13,6,7,24.0,49,,,8.0
2tyMOS8xKREgpEwHnLc6EX,1.0,Front 242,belgian new wave,ebm,electro-industrial,industrial,39.0,117710.0,6.0,14,8,6,16.0,16,,,4.0
64k5e9kV9MdukXjFrR5R37,1.0,Jessi,k-pop,,,,65.0,1506893.0,20.0,79,35,44,32.0,2,,,55357.0
4e0nWw2r4BoQSKPQ2zpU13,1.0,Ray Dalton,,,,,71.0,39398.0,10.0,18,2,16,32.0,0,,,15.0
1mmqOtZfCXc9tIabSS7ndf,1.0,koma,,,,,23.0,118.0,3.0,6,3,3,16.0,19,,,6.0
4yQPrsJlYLc83R18ani60u,1.0,Roc Piin,,,,,0.0,5.0,0.0,59,30,29,8.0,1,Pop sến loại 2,0.0,7738.0
00OX175uYCsHJPLZOjNJqe,1.0,Ken Laszlo,hi-nrg,italian disco,new italo disco,,43.0,33065.0,4.0,17,13,4,24.0,3,,,14.0
0Y669kGV5Gru5RaumXTxtV,1.0,Jang Hyun Seung,,,,,26.0,16073.0,14.0,17,3,14,16.0,2,,,14.0
1Qff3xbSPwHWtSuiGtQO4c,1.0,Moonbabies,deep acoustic pop,malmo indie,,,7.0,1252.0,1.0,1,0,1,8.0,12,,,1.0
4HBMToZ4yMR07eiK9IxtjK,1.0,Klaypex,complextro,edm,electro house,filthstep,36.0,66084.0,8.0,18,10,8,16.0,20,,,45.0
2OLmN3LLWtLF7zerL4VdaX,1.0,Laid Back,classic danish pop,italian disco,,,52.0,47129.0,15.0,16,1,15,24.0,3,,,1.0
5Fva31kvVZEKlCXujoXowm,1.0,Pôhjast,,,,,0.0,339.0,1.0,1,0,1,8.0,3,,,1.0
4v2DyasTOGK3Pv90w75yar,1.0,Striking Matches,,,,,35.0,19260.0,5.0,6,1,5,16.0,23,,,2.0
26OrZl5U3VNGHU9qUj8EcM,1.0,Shift K3Y,deep groove house,house,pop dance,tropical house,58.0,90037.0,11.0,50,39,11,24.0,0,,,26.0
18yvjJdI9KYQ7uJAZ2z8fY,1.0,Karat,classic schlager,german rock,liedermacher,neue deutsche welle,40.0,76753.0,6.0,15,9,6,24.0,21,,,2.0
4YYi3ZB0jCYkNx9Fi3Z5AW,1.0,So Hee Song,,,,,24.0,4878.0,13.0,21,8,13,16.0,2,,,15.0
7juKTDFlPesGeWQ1GmjmOv,1.0,Silentó,chicago bop,pinoy hip hop,,,50.0,224662.0,8.0,10,2,8,24.0,0,,,41.0
16n0JdPbGUbIcYP7XSchau,1.0,Trinh The Phong,,,,,0.0,7.0,0.0,22,8,14,8.0,1,Pop sến loại 2,0.0,7195.0
56coS2IZSVdhIlHyzR75mK,1.0,Botnek,bass house,canadian electronic,electro house,,36.0,27557.0,3.0,5,2,3,16.0,0,,,3.0
3OIHrPeryKmEnrOHCh0x7a,1.0,Das Sound Machine,,,,,41.0,19259.0,13.0,19,6,13,24.0,13,,,3.0
0kMA8StaJw3CUvN42xCLSe,1.0,Agent Side Grinder,dark post-punk,grave wave,minimal wave,swedish synth,28.0,13298.0,2.0,8,6,2,16.0,16,,,1.0
6yLIYk4JTSXk88kQ3SY2XK,1.0,No More,minimal wave,neue deutsche todeskunst,,,15.0,2712.0,2.0,2,0,2,8.0,16,,,8.0
2N1l5VEy6whDRqvnUElnau,1.0,Blaze Bayley,metal,power metal,,,29.0,42849.0,12.0,15,3,12,16.0,3,,,3.0
2iM28IgKg89v1o7BTQAVPo,1.0,Bruce Hornsby,album rock,classic rock,country rock,folk rock,56.0,330283.0,11.0,16,5,11,24.0,3,,,4.0
0OECMkZp1koXqQLQrMizHb,1.0,Vicky Nhung,v-pop,,,,45.0,24019.0,20.0,160,104,56,24.0,1,Pop sến loại 1,14.0,924845.0
1TGdxJ3UvFq055SVjwx49v,1.0,Conchita Wurst,eurovision,,,,39.0,48120.0,3.0,8,5,3,16.0,0,,,57.0
0uikComDxOCI12Rlf0F8fg,1.0,Goombay Dance Band,classic uk pop,europop,italian disco,,44.0,61914.0,13.0,40,27,13,24.0,3,,,1.0
